"full_name","role","email","runs_triggered","models_owned","datasets_contributed","artifacts_uploaded","total_storage_gb","deployments_involved"
"Divya Rani Das","Data Scientist","divya.das10@iitb.ac.in","6","0","0","5","47.916","2"
"Vandana Bai Pillai","Data Administrator","vandana.pillai15@iitb.ac.in","5","1","3","2","23.852","1"
"Parth Chandra Dutta","ML Engineer","parth.dutta17@yahoo.co.in","5","2","1","4","92.410","3"
"Aditya Bai Sen","Data Scientist","aditya.sen14@rediffmail.com","4","1","3","1","76.913","3"
"Nandini Raj Mehta","Surfer","nandini.mehta18@iitb.ac.in","4","2","3","1","31.931","4"
"Ritvik Rani Bose","Surfer","ritvik.bose13@nit.ac.in","4","0","1","3","14.195","2"
"Ayaan Nath Mehta","ML Engineer","ayaan.mehta7@nit.ac.in","3","0","3","4","6.287","1"
"Shaurya Rani Dutta","ML Engineer","shaurya.dutta19@rediffmail.com","3","2","0","2","18.708","2"
"Isha Chandra Shah","Surfer","isha.shah6@rediffmail.com","2","2","3","1","26.710","3"
"Kabir Bai Joshi","Data Scientist","kabir.joshi5@nit.ac.in","2","2","1","0","0.000","1"
"Kavya Chandra Iyer","Data Administrator","kavya.iyer8@yahoo.co.in","2","0","2","5","6.966","1"
"Manish Kumar Trivedi","Data Scientist","manish.trivedi1@gmail.com","2","0","3","7","20.693","2"
"Rahul Kumar Verma","Data Administrator","rahul.verma0@yahoo.co.in","2","0","0","0","0.000","0"
"Arnav Lal Sinha","ML Engineer","arnav.sinha12@rediffmail.com","2","1","0","3","8.077","1"
"Gaurav Devi Mehta","Surfer","gaurav.mehta9@outlook.com","2","1","1","2","6.779","2"
"Sai Prasad Menon","ML Engineer","sai.menon2@yahoo.co.in","2","1","1","3","5.307","2"
"Deepak Rani Trivedi","ML Engineer","deepak.trivedi3@outlook.com","2","1","2","0","0.000","1"
"Divya Lal Shah","Data Scientist","divya.shah16@rediffmail.com","1","1","1","3","1.977","2"
"Rekha Reddy","Data Administrator","rekha.reddy4@yahoo.co.in","1","1","0","1","7.928","4"
"Advaith Rani Patel","ML Engineer","advaith.patel11@iitb.ac.in","1","0","3","1","1.528","1"
