"full_name","role","email","runs_triggered","models_owned","datasets_contributed","artifacts_uploaded","total_storage_gb","deployments_involved"
"Aarav Kumar Sharma","Data Scientist","aarav.sharma@chronosml.com","72","1","5","2","11072.822","0"
"Rohan Kumar Das","ML Engineer","rohan.das@chronosml.com","6","0","2","0","0.000","3"
"Krishna Mohan Reddy","Data Scientist","krishna.reddy@chronosml.com","4","3","1","2","21.225","0"
"Aadhya Prakash Rao","Data Scientist","aadhya.rao@chronosml.com","3","2","4","1","4.546","0"
"Saisha Nitin Nair","ML Engineer","saisha.nair@chronosml.com","3","2","3","1","0.000","2"
"Kabir Ramesh Verma","Data Scientist","kabir.verma@chronosml.com","2","0","5","3","0.001","0"
"Mira Sanjay Gupta","Data Scientist","mira.gupta@chronosml.com","2","2","5","1","144.632","0"
"Arnav Vijay Pillai","Data Scientist","arnav.pillai@chronosml.com","1","1","5","2","12.663","0"
"Diya Anil Patel","ML Engineer","diya.patel@chronosml.com","1","1","1","2","16.000","4"
"Isha Harish Menon","ML Engineer","isha.menon@chronosml.com","1","0","3","0","0.000","7"
"Ishaan Dev Joshi","ML Engineer","ishaan.joshi@chronosml.com","1","2","0","4","105.213","4"
"Pranav Suresh Kulkarni","ML Engineer","pranav.kulkarni@chronosml.com","1","3","6","2","5.731","4"
"Riya Suman Mehta","ML Engineer","riya.mehta@chronosml.com","1","0","4","5","176.447","5"
"Sanya Deepak Kapoor","ML Engineer","sanya.kapoor@chronosml.com","1","0","1","1","1.318","9"
"Dev Arvind Saxena","Data Scientist","dev.saxena@chronosml.com","1","1","3","2","0.250","0"
"Vivaan Mehta Shah","Data Administrator","vivaan.shah@chronosml.com","0","0","6","0","0.000","4"
"Aditya Vikram Mishra","Data Scientist","aditya.mishra@chronosml.com","0","2","2","2","0.172","0"
"Reyansh Gopal Iyer","Data Administrator","reyansh.iyer@chronosml.com","0","0","2","0","0.000","5"
"Dhruv Sanjay Trivedi","Data Administrator","dhruv.trivedi@chronosml.com","0","0","5","0","0.000","5"
"Tanvi Kiran Deshmukh","Surfer","tanvi.deshmukh@chronosml.com","0","0","0","0","0.000","0"
"Ahana Rajesh Chatterjee","Data Administrator","ahana.chatterjee@chronosml.com","0","0","1","0","0.000","5"
"Rudransh Bikram Sen","Data Administrator","rudransh.sen@chronosml.com","0","0","3","0","0.000","5"
"Arjun Pratap Chauhan","Surfer","arjun.chauhan@chronosml.com","0","0","0","0","0.000","0"
"Kiara Jay Bose","Surfer","kiara.bose@chronosml.com","0","0","0","0","0.000","0"
"Ananya Kumari Singh","Surfer","ananya.singh@chronosml.com","0","0","0","0","0.000","0"
